Date,Time ofgreatest eclipse(TDT),Saros,Type,Magnitude,Centralduration(min:s),Location,Path width,Path width,Geographical area,Ref(s),Gamma
Date,Time ofgreatest eclipse(TDT),Saros,Type,Magnitude,Centralduration(min:s),Location,km,mi,Geographical area,Ref(s),Gamma
"July 1, 2011",08:39:30,156,Partial,0.097,—,65°12′S 28°36′E﻿ / ﻿65.2°S 28.6°E,—,—,Partial: Southern Indian Ocean near Antarctica,[a][4],
"November 25, 2011",06:21:24,123,Partial,0.905,—,68°36′S 82°24′W﻿ / ﻿68.6°S 82.4°W,—,—,"Partial: Southwestern South Africa, Antarctica, Tasmania, New Zealand",[a][4],
"May 20, 2012",23:53:54,128,Annular,0.944,5:46,49°06′N 176°18′E﻿ / ﻿49.1°N 176.3°E,237,147,"Annular: Southern China, Hong Kong, Macau, Kyushu, Shikoku, southern Honshu, Tokyo, Oregon, California, Nevada, Utah, Arizona, New Mexico, Texas Partial: Pacific, eastern Asia, North America, Hawaii",[a][4],
"November 13, 2012",22:12:55,133,Total,1.05,4:02,40°00′S 161°18′W﻿ / ﻿40.0°S 161.3°W,179,111,"Total: Arnhem Land and central Cape York Peninsula, Australia, Kermadec Islands, New Zealand Partial: Australia, New Zealand, Melanesia, Southeastern South America, Southern Pacific, Polynesia, Antarctic Peninsula, West Antarctica, Talos Dome",[a][4],
"May 10, 2013",00:26:20,138,Annular,0.954,6:03,2°12′N 175°30′E﻿ / ﻿2.2°N 175.5°E,173,107,"Annular: Western Australia, Northern Territory and Queensland, Australia, Louisiade Archipelago, Solomon Islands, Kiribati Partial: Australia, New Zealand, Central Pacific, Hawaii, Indonesia",[a][4],
"November 3, 2013",12:47:36,143,Hybrid,1.016,1:40,3°30′N 11°42′W﻿ / ﻿3.5°N 11.7°W,58,36,"Hybrid: Gabon, Republic of the Congo, Democratic Republic of the Congo, Uganda, Kenya, Ethiopia Partial: Eastern America, Eastern Canada, Caribbean, Eastern South America, South Europe, Africa",[a][4],
"April 29, 2014",06:04:33,148,Annular (non-central),0.987,—,70°36′S 131°18′E﻿ / ﻿70.6°S 131.3°E,—,—,"Annular: western Wilkes Land Partial: South Indian Ocean, Australia, east Antarctica",[a][4],
"October 23, 2014",21:45:39,153,Partial,0.811,—,71°12′N 97°12′W﻿ / ﻿71.2°N 97.2°W,—,—,"Partial: Northern Pacific, North America, Mexico, Eastern Russia",[a][4],
"March 20, 2015",09:46:47,120,Total,1.045,2:47,64°24′N 6°36′W﻿ / ﻿64.4°N 6.6°W,463,288,"Total: Faroe Islands, Svalbard, North Atlantic, North Pole Partial: Greenland, Europe, Central Asia, Western Russia",[a][4],
"September 13, 2015",06:55:19,125,Partial,0.788,—,72°06′S 2°18′W﻿ / ﻿72.1°S 2.3°W,—,—,"Partial: Southern Africa, South Indian Ocean, east Antarctica",[a][4],
"March 9, 2016",01:58:19,130,Total,1.045,4:09,10°06′N 148°48′E﻿ / ﻿10.1°N 148.8°E,155,96,"Total: Indonesia, Micronesia, Marshall Islands Partial: Southeastern Asia, Korea, Japan, Eastern Russia, Alaska, northwestern Australia, Hawaii, Pacific",[a][4],
"September 1, 2016",09:08:02,135,Annular,0.974,3:06,10°42′S 37°48′E﻿ / ﻿10.7°S 37.8°E,100,62,"Annular: Atlantic, Central Africa, Madagascar, Indian Partial: Africa, Indian Ocean",[a][5],
"February 26, 2017",14:54:33,140,Annular,0.992,0:44,34°42′S 31°12′W﻿ / ﻿34.7°S 31.2°W,31,19,"Annular: southern Chile and Argentina, Angola, southwestern Katanga Partial: Southern and Western Africa, Southern South America, Antarctica",[a][4],
"August 21, 2017",18:26:40,145,Total,1.031,2:40,37°00′N 87°42′W﻿ / ﻿37.0°N 87.7°W,115,71,"Total: Oregon, Idaho, Wyoming, Nebraska, northeastern Kansas, Missouri, Southern Illinois, Western Kentucky, Tennessee, Southwestern North Carolina, northeastern Georgia, South Carolina, Southwest Virginia Partial: North America, Hawaii, Greenland, Iceland, British Isles, Portugal, Central America, Caribbean, northern South America, Chukchi Peninsula",[a][4][6],
"February 15, 2018",20:52:33,150,Partial,0.599,—,71°00′S 0°36′E﻿ / ﻿71.0°S 0.6°E,—,—,"Partial: Antarctica, Southern South America",[a][4],
"July 13, 2018",03:02:16,117,Partial,0.336,—,67°54′S 127°24′E﻿ / ﻿67.9°S 127.4°E,—,—,"Partial: South Australia, Victoria, Tasmania, Indian Ocean, Budd Coast",[a][4],
"August 11, 2018",09:47:28,155,Partial,0.737,—,70°24′N 174°30′E﻿ / ﻿70.4°N 174.5°E,—,—,"Partial: Northeastern Canada, Greenland, Iceland, Arctic Ocean, Scandinavia, northern British Isles, Russia, northern Asia",[a][4],
"January 6, 2019",01:42:38,122,Partial,0.715,—,67°24′N 153°36′E﻿ / ﻿67.4°N 153.6°E,—,—,"Partial: Northeastern Asia, Southwestern Alaska, Aleutian Islands",[a][4],
"July 2, 2019",19:24:08,127,Total,1.046,4:33,17°24′S 109°00′W﻿ / ﻿17.4°S 109.0°W,201,125,"Total: Pitcairn Islands, central Argentina and Chile, Tuamotu Archipelago Partial: South America, Easter Island, Galapagos Islands, Southern Central America, Polynesia",[a][4],
"December 26, 2019",05:18:53,132,Annular,0.97,3:40,1°00′N 102°18′E﻿ / ﻿1.0°N 102.3°E,118,73,"Annular: Saudi Arabia, Bahrain, Qatar, United Arab Emirates, Oman, Lakshadweep, Southern India, Sri Lanka, northern Sumatra, southern Malaysia, Singapore, Borneo, central Indonesia, Palau, Micronesia, Guam Partial: Asia, Western Melanesia, northwestern Australia, Middle East, East Africa",[a][4],
"June 21, 2020",06:41:15,137,Annular,0.994,0:38,30°30′N 79°42′E﻿ / ﻿30.5°N 79.7°E,21,13,"Annular: Democratic Republic of the Congo, Sudan, Ethiopia, Eritrea, Yemen, Empty Quarter, Oman, southern Pakistan, northern India, Tibet, southern China, Chongqing, Taiwan Partial: Asia, Southeastern Europe, Africa, Middle East, West Melanesia, Western Australia, Northern Territory, Cape York Peninsula",[a][4],
"December 14, 2020",16:14:39,142,Total,1.025,2:10,40°18′S 67°54′W﻿ / ﻿40.3°S 67.9°W,90,56,"Total: Southern Chile and Argentina Partial: Central and Southern South America, Southwest Africa, Antarctic Peninsula, Ellsworth Land, Western Queen Maud Land",[a][4],
"June 10, 2021",10:43:07,147,Annular,0.943,3:51,80°48′N 66°48′W﻿ / ﻿80.8°N 66.8°W,527,327,"Annular: Northern Canada (Ontario, Nunavut), Greenland, North Pole, Russian Far East Partial: Northern North America, Europe, Asia",[a][7],
"December 4, 2021",07:34:38,152,Total,1.037,1:54,76°48′S 46°12′W﻿ / ﻿76.8°S 46.2°W,419,260,"Total: AntarcticaPartial: South Africa, South Atlantic",[a][7],
"April 30, 2022",20:42:36,119,Partial,0.64,—,62°06′S 71°30′W﻿ / ﻿62.1°S 71.5°W,—,—,"Partial: Southeast Pacific, Southern South America",[a][7],
"October 25, 2022",11:01:20,124,Partial,0.862,—,61°36′N 77°24′E﻿ / ﻿61.6°N 77.4°E,—,—,"Partial: Europe, northeast Africa, Mid East, West Asia",[a][7],
"April 20, 2023",04:17:56,129,Hybrid,1.013,1:16,9°36′S 125°48′E﻿ / ﻿9.6°S 125.8°E,49,30,"Hybrid: Indonesia, Australia, Timor-LestePartial: Southeast Asia, East Indies, Philippines, New Zealand",[a][7],
"October 14, 2023",18:00:41,134,Annular,0.952,5:17,11°24′N 83°06′W﻿ / ﻿11.4°N 83.1°W,187,116,"Annular: Western United States, Central America, Colombia, BrazilPartial: North America, Central America, South America",[a][7],
"April 8, 2024",18:18:29,139,Total,1.057,4:28,25°18′N 104°06′W﻿ / ﻿25.3°N 104.1°W,198,123,"Total: Mexico, central and northeastern United States, East CanadaPartial: North America, Central America",[a][7],
"October 2, 2024",18:46:13,144,Annular,0.933,7:25,22°00′S 114°30′W﻿ / ﻿22.0°S 114.5°W,266,165,"Annular: Southern Chile, Southern ArgentinaPartial: Pacific, Southern South America",[a][7],
"March 29, 2025",10:48:36,149,Partial,0.938,—,61°06′N 77°06′W﻿ / ﻿61.1°N 77.1°W,—,—,"Partial: Northwest Africa, Europe, northern Russia",[a][7],
"September 21, 2025",19:43:04,154,Partial,0.855,—,60°54′S 153°30′E﻿ / ﻿60.9°S 153.5°E,—,—,"Partial: South Pacific, New Zealand, Antarctica",[a][7],
"February 17, 2026",12:13:06,121,Annular,0.963,2:20,64°42′S 86°48′E﻿ / ﻿64.7°S 86.8°E,616,383,"Annular: AntarcticaPartial: South Argentina, Chile, South Africa, Antarctica",[a][7],
"August 12, 2026",17:47:06,126,Total,1.039,2:18,65°12′N 25°12′W﻿ / ﻿65.2°N 25.2°W,294,183,"Total: Arctic, Greenland, Iceland, Spain, Northeastern PortugalPartial: Northern North America, Western Africa, Europe",[a][7],
"February 6, 2027",16:00:48,131,Annular,0.928,7:51,31°18′S 48°30′W﻿ / ﻿31.3°S 48.5°W,282,175,"Annular: Chile, Argentina, AtlanticPartial: South America, Antarctica, West and South Africa",[a][7],
"August 2, 2027",10:07:50,136,Total,1.079,6:23,25°30′N 33°12′E﻿ / ﻿25.5°N 33.2°E,258,160,"Total: Morocco, Spain, Algeria, Tunisia, Libya, Egypt, Saudi Arabia, Yemen, SomaliaPartial: Africa, Europe, Mid East, West and South Asia",[a][7],
"January 26, 2028",15:08:59,141,Annular,0.921,10:27,3°00′N 51°30′W﻿ / ﻿3.0°N 51.5°W,323,201,"Annular: Ecuador, Peru, Brazil, Suriname, Spain, PortugalPartial: Eastern North America, Central and South America, Western Europe, northwest Africa",[a][7],
"July 22, 2028",02:56:40,146,Total,1.056,5:10,15°36′S 126°42′E﻿ / ﻿15.6°S 126.7°E,230,140,"Total: Australia, New ZealandPartial: Southeast Asia, East Indies",[a][7],
"January 14, 2029",17:13:48,151,Partial,0.871,—,63°42′N 114°12′W﻿ / ﻿63.7°N 114.2°W,—,—,"Partial: North America, Central America",[a][7],
"June 12, 2029",04:06:13,118,Partial,0.458,—,66°48′N 66°12′W﻿ / ﻿66.8°N 66.2°W,—,—,"Partial: Arctic, Scandinavia, Alaska, northern Asia, northern Canada",[a][7],
"July 11, 2029",15:37:19,156,Partial,0.23,—,64°18′S 85°36′W﻿ / ﻿64.3°S 85.6°W,—,—,"Partial: Southern Chile, Southern Argentina",[a][7],
"December 5, 2029",15:03:58,123,Partial,0.891,—,67°30′S 135°42′E﻿ / ﻿67.5°S 135.7°E,—,—,"Partial: Southern Argentina, Southern Chile, Antarctica",[a][7],
"June 1, 2030",06:29:13,128,Annular,0.944,5:21,56°30′N 80°06′E﻿ / ﻿56.5°N 80.1°E,250,160,"Annular: Algeria, Tunisia, Libya, Greece, southeastern Bulgaria, Turkey, southeastern Ukraine, Russia, northern China, JapanPartial: Europe, Northern Africa, Mid East, Asia, Arctic, Alaska",[a][7],
"November 25, 2030",06:51:37,133,Total,1.047,3:44,43°36′S 71°12′E﻿ / ﻿43.6°S 71.2°E,169,105,"Total: Botswana, South Africa, AustraliaPartial: South Africa, Southern Indian Ocean, East Indies, Australia, Antarctica",[a][7],
"May 21, 2031",07:16:04,138,Annular,0.959,5:26,8°54′N 71°42′E﻿ / ﻿8.9°N 71.7°E,152,94,"Annular: Angola, Republic of the Congo, Zambia, Tanzania, south Indian Ocean, Malaysia, IndonesiaPartial: Africa, south Asia, East Indies, Australia",[a][8],
"November 14, 2031",21:07:31,143,Hybrid,1.011,1:08,0°36′S 137°36′W﻿ / ﻿0.6°S 137.6°W,38,24,"Hybrid: Pacific, PanamaPartial: south United States, Central America, northwest South America",[a][8],
"May 9, 2032",13:26:42,148,Annular,0.996,0:22,51°18′S 7°06′W﻿ / ﻿51.3°S 7.1°W,44,27,"Annular: south AtlanticPartial: south South America, South Africa",[a][8],
"November 3, 2032",05:34:13,153,Partial,0.855,—,70°24′N 132°36′E﻿ / ﻿70.4°N 132.6°E,—,—,"Partial: Asia, Eastern Europe",[a][8],
"March 30, 2033",18:02:36,120,Total,1.046,2:37,71°18′N 155°48′W﻿ / ﻿71.3°N 155.8°W,781,485,"Total: Russian Far East, AlaskaPartial: North America, northeastern Asia",[a][8],
"September 23, 2033",13:54:31,125,Partial,0.689,—,72°12′S 121°12′W﻿ / ﻿72.2°S 121.2°W,—,—,"Partial: south South America, Antarctica",[a][8],
"March 20, 2034",10:18:45,130,Total,1.046,4:09,16°06′N 22°12′E﻿ / ﻿16.1°N 22.2°E,159,99,"Total: Nigeria, Cameroon, Chad, Sudan, Egypt, Saudi Arabia, Iran, Afghanistan, Pakistan, India, ChinaPartial: Africa, Europe, west Asia",[a][8],
"September 12, 2034",16:19:28,135,Annular,0.974,2:58,18°12′S 72°36′W﻿ / ﻿18.2°S 72.6°W,102,63,"Annular: Chile, Bolivia, Argentina, Paraguay, BrazilPartial: Central America, South America",[a][8],
"March 9, 2035",23:05:54,140,Annular,0.992,0:48,29°00′S 154°54′W﻿ / ﻿29.0°S 154.9°W,31,19,"Annular: New Zealand, PacificPartial: Australia, Mexico, Antarctica",[a][8],
"September 2, 2035",01:56:46,145,Total,1.032,2:54,29°06′N 158°00′E﻿ / ﻿29.1°N 158.0°E,116,72,"Total: China, Korea, Japan, PacificPartial: east Asia, Pacific",[a][8],
"February 27, 2036",04:46:49,150,Partial,0.629,—,71°36′S 131°24′W﻿ / ﻿71.6°S 131.4°W,—,—,"Partial: Antarctica, south Australia, New Zealand",[a][8],
"July 23, 2036",10:32:06,117,Partial,0.199,—,68°54′S 3°36′E﻿ / ﻿68.9°S 3.6°E,—,—,Partial: south Atlantic,[a][8],
"August 21, 2036",17:25:45,155,Partial,0.862,—,71°06′N 47°00′E﻿ / ﻿71.1°N 47.0°E,—,—,"Partial: Alaska, Canada, Arctic, west Europe, northwest Africa",[a][8],
"January 16, 2037",09:48:55,122,Partial,0.705,—,68°30′N 20°48′E﻿ / ﻿68.5°N 20.8°E,—,—,"Partial: north Africa, Europe, Mid East, west Asia",[a][8],
"July 13, 2037",02:40:36,127,Total,1.041,3:58,24°48′S 139°06′E﻿ / ﻿24.8°S 139.1°E,201,125,"Total: Australia, New ZealandPartial: East Indies, Australia, Pacific",[a][8],
"January 5, 2038",13:47:11,132,Annular,0.973,3:18,2°06′N 25°24′W﻿ / ﻿2.1°N 25.4°W,107,66,"Annular: Cuba, Dominican Republic, Cote d'Ivoire, Ghana, Niger, Chad, EgyptPartial: east North America, north South America, Atlantic, Africa, Europe",[a][8],
"July 2, 2038",13:32:55,137,Annular,0.991,1:00,25°24′N 21°54′W﻿ / ﻿25.4°N 21.9°W,31,19,"Annular: Colombia, Venezuela, Mauritania, Morocco, Mali, Niger, Chad, Sudan, Ethiopia, KenyaPartial: North and Central America, South America, Africa, Europe, Mid East",[a][8],
"December 26, 2038",01:00:10,142,Total,1.027,2:18,40°18′S 164°00′E﻿ / ﻿40.3°S 164.0°E,95,59,"Total: Australia, New Zealand, south PacificPartial: southeast Asia, East Indies, Australia, New Zealand, south Pacific, Antarctica",[a][8],
"June 21, 2039",17:12:54,147,Annular,0.945,4:05,78°54′N 102°06′W﻿ / ﻿78.9°N 102.1°W,365,227,"Annular: Alaska, north Canada, Norway, Sweden, Finland, Estonia, RussiaPartial: North America, west Europe",[a][8],
"December 15, 2039",16:23:46,152,Total,1.036,1:51,80°54′S 172°48′E﻿ / ﻿80.9°S 172.8°E,380,240,Total: AntarcticaPartial: south South America,[a][8],
"May 11, 2040",03:43:02,119,Partial,0.531,—,62°48′S 174°24′E﻿ / ﻿62.8°S 174.4°E,—,—,"Partial: Australia, New Zealand, Antarctica",[a][8],
"November 4, 2040",19:09:02,124,Partial,0.807,—,62°12′N 53°24′W﻿ / ﻿62.2°N 53.4°W,—,—,Partial: North and Central America,[a][8],
"April 30, 2041",11:52:21,129,Total,1.019,1:51,9°36′S 12°12′E﻿ / ﻿9.6°S 12.2°E,72,45,"Total: Angola, Republic of the Congo, Uganda, Kenya, SomaliaPartial: Brazil, Africa, Mid East",[a][9],
"October 25, 2041",01:36:22,134,Annular,0.947,6:07,9°54′N 162°54′E﻿ / ﻿9.9°N 162.9°E,213,132,"Annular: Mongolia, China, Korea, Japan, PacificPartial: east Asia, Pacific",[a][9],
"April 20, 2042",02:17:30,139,Total,1.061,4:51,27°00′N 137°18′E﻿ / ﻿27.0°N 137.3°E,210,130,"Total: Malaysia, Indonesia, Philippines, north Pacific Partial: east and southeast Asia, Australia, Pacific",[a][9],
"October 14, 2042",02:00:42,144,Annular,0.93,7:44,23°42′S 137°48′E﻿ / ﻿23.7°S 137.8°E,273,170,"Annular: Thailand, Malaysia, Indonesia, Australia, New Zealand Partial: south-east Asia, East Indies, south Pacific, Antarctica",[a][9],
"April 9, 2043",18:57:49,149,Total (non-central),1.01,—,61°18′N 152°00′E﻿ / ﻿61.3°N 152.0°E,—,—,"Total: northeast RussiaPartial: north North America, northeast Asia",[a][9],
"October 3, 2043",03:01:49,154,Annular (non-central),0.95,—,61°00′S 35°18′E﻿ / ﻿61.0°S 35.3°E,—,—,"Annular: south Indian OceanPartial: Antarctica, southwest Australia, Indian Ocean",[a][9],
"February 28, 2044",20:24:40,121,Annular,0.96,2:27,62°12′S 25°36′W﻿ / ﻿62.2°S 25.6°W,—,—,"Annular: south AtlanticPartial: Antarctica, South America",[a][9],
"August 23, 2044",01:17:02,126,Total,1.036,2:04,64°18′N 120°24′W﻿ / ﻿64.3°N 120.4°W,453,281,"Total: Greenland; Canada's Northwest Territories and Nunavut, Alberta, southwestern Saskatchewan; Montana, North Dakota Partial: north Asia, western North America, Greenland",[a][9],
"February 16, 2045",23:56:07,131,Annular,0.928,7:47,28°18′S 166°12′W﻿ / ﻿28.3°S 166.2°W,281,175,"Annular: New Zealand, Pacific Partial: Australia, Hawaii",[a][9],
"August 12, 2045",17:42:39,136,Total,1.077,6:06,25°54′N 78°30′W﻿ / ﻿25.9°N 78.5°W,256,159,"Total: south United States, Haiti, Dominican Republic, Venezuela, Guyana, French Guiana, Suriname, Brazil Partial: North, Central and South America, western Africa",[a][9],
"February 5, 2046",23:06:26,141,Annular,0.923,9:42,4°48′N 171°24′W﻿ / ﻿4.8°N 171.4°W,310,190,"Annular: Papua New Guinea, Hawaii, California, Oregon, IdahoPartial: Australia, western United States",[a][9],
"August 2, 2046",10:21:13,146,Total,1.053,4:51,12°42′S 15°12′E﻿ / ﻿12.7°S 15.2°E,206,128,"Total: Brazil, Angola, east Namibia, Botswana, South Africa, Swaziland, south Mozambique Partial: Africa",[a][9],
"January 26, 2047",01:33:18,151,Partial,0.891,—,62°54′N 111°42′E﻿ / ﻿62.9°N 111.7°E,—,—,"Partial: east Asia, Alaska",[a][9],
"June 23, 2047",10:52:31,118,Partial,0.313,—,65°48′N 178°00′W﻿ / ﻿65.8°N 178.0°W,—,—,"Partial: north Canada, Greenland, northeast Asia",[a][9],
"July 22, 2047",22:36:17,156,Partial,0.361,—,63°24′S 160°12′E﻿ / ﻿63.4°S 160.2°E,—,—,"Partial: southeast Australia, New Zealand",[a][9],
"December 16, 2047",23:50:12,123,Partial,0.882,—,66°24′S 6°36′W﻿ / ﻿66.4°S 6.6°W,—,—,"Partial: Antarctica, south Chile, south Argentina",[a][9],
"June 11, 2048",12:58:53,128,Annular,0.944,4:58,63°42′N 11°30′W﻿ / ﻿63.7°N 11.5°W,272,169,"Annular: midwest United States, Quebec, Ontario, Greenland, Iceland, Norway, Sweden, Russia, Afghanistan Partial: North America, Caribbean, north Africa, Europe, west Asia",[a][9],
"December 5, 2048",15:35:27,133,Total,1.044,3:28,46°06′S 56°24′W﻿ / ﻿46.1°S 56.4°W,160,99,"Total: Chile, Argentina, Namibia, Botswana Partial: south South America, southwest Africa",[a][9],
"May 31, 2049",13:59:59,138,Annular,0.963,4:45,15°18′N 29°54′W﻿ / ﻿15.3°N 29.9°W,134,83,"Annular: Peru, Ecuador, Colombia, Venezuela, Guyana, Senegal, Mali, Burkina Faso, Ghana, Nigeria Partial: southeast United States, Central America, South America, Africa, south Europe",[a][9],
"November 25, 2049",05:33:48,143,Hybrid,1.006,0:38,3°48′S 95°12′E﻿ / ﻿3.8°S 95.2°E,21,13,"Hybrid: Saudi Arabia, Yemen, Malaysia, Indonesia Partial: east Africa, south Asia, East Indies, Australia",[a][9],
"May 20, 2050",20:42:50,148,Hybrid,1.004,0:21,40°06′S 123°42′W﻿ / ﻿40.1°S 123.7°W,27,17,"Hybrid: south Pacific Partial: New Zealand, southwest South America",[a][9],
"November 14, 2050",13:30:53,153,Partial,0.887,—,69°30′N 1°00′E﻿ / ﻿69.5°N 1.0°E,—,—,"Partial: northeast United States, east Canada, north Africa, Europe",[a][9],
"April 11, 2051",02:10:39,120,Partial,0.985,—,71°36′N 32°12′E﻿ / ﻿71.6°N 32.2°E,—,—,"Partial: Asia, Alaska, Canada, Greenland",[a][10],
"October 4, 2051",21:02:14,125,Partial,0.602,—,72°00′S 117°42′E﻿ / ﻿72.0°S 117.7°E,—,—,"Partial: Antarctica, Australia, New Zealand",[a][10],
"March 30, 2052",18:31:53,130,Total,1.047,4:08,22°24′N 102°30′W﻿ / ﻿22.4°N 102.5°W,164,102,"Total: central Pacific, Mexico, United States, central Atlantic Partial: Central and North America, north South America",[a][10],
"September 22, 2052",23:39:10,135,Annular,0.973,2:51,25°42′S 175°00′E﻿ / ﻿25.7°S 175.0°E,106,66,"Annular: Australia, south Pacific Partial: New Zealand, Antarctica, West Indies",[a][10],
